"","country","time1","total_female_ratio","inbreeding1_female_ratio","inbreeding2_female_ratio","inbreeding3_female_ratio","inbreeding4_female_ratio"
"1","AU","1975-1986",0.241666666666667,0.210526315789474,0.15625,0.186046511627907,0.160714285714286
"2","AU","1987-1998",0.282916213275299,0.325301204819277,0.307692307692308,0.260663507109005,0.261224489795918
"3","AU","1999-2010",0.362420830401126,0.392207792207792,0.396917148362235,0.400717703349282,0.402061855670103
"4","AU","2011-2023",0.394519740718916,0.384460141271443,0.387070376432079,0.407714641227706,0.406888720666162
"5","BR","1975-1986",0.469522240527183,0.573529411764706,0.516483516483517,0.524193548387097,0.504201680672269
"6","BR","1987-1998",0.474067333939945,0.419161676646707,0.465486725663717,0.44141689373297,0.464052287581699
"7","BR","1999-2010",0.460914359304572,0.471571906354515,0.460622104566512,0.456154465004023,0.455009276437848
"8","BR","2011-2023",0.46517429708044,0.474714518760196,0.462835249042146,0.473863636363636,0.466451292246521
"9","CA","1975-1986",0.211356466876972,0.222222222222222,0.272727272727273,0.259259259259259,0.27536231884058
"10","CA","1987-1998",0.314060446780552,0.285714285714286,0.353658536585366,0.275862068965517,0.319148936170213
"11","CA","1999-2010",0.361253854059609,0.358490566037736,0.375527426160338,0.370106761565836,0.37621359223301
"12","CA","2011-2023",0.382262271757173,0.387665198237885,0.373170731707317,0.383030303030303,0.37797619047619
"13","CN","1975-1986",0.517110266159696,0.333333333333333,0.387755102040816,0.446808510638298,0.435897435897436
"14","CN","1987-1998",0.508687258687259,0.551724137931034,0.524229074889868,0.519685039370079,0.512328767123288
"15","CN","1999-2010",0.535304247990815,0.537373737373737,0.53042328042328,0.532690246516613,0.529313232830821
"16","CN","2011-2023",0.551933282789992,0.589103291713961,0.562584118438762,0.572139303482587,0.56006628003314
"17","DE","1975-1986",0.27027027027027,0.5,0.416666666666667,0.214285714285714,0.25
"18","DE","1987-1998",0.276657060518732,0.409090909090909,0.351351351351351,0.313725490196078,0.303030303030303
"19","DE","1999-2010",0.343165467625899,0.267605633802817,0.288135593220339,0.271084337349398,0.28169014084507
"20","DE","2011-2023",0.375285171102662,0.297520661157025,0.320954907161804,0.357894736842105,0.358585858585859
"21","ES","1975-1986",0.520725388601036,0.511811023622047,0.513333333333333,0.543589743589744,0.541284403669725
"22","ES","1987-1998",0.544609665427509,0.592105263157895,0.595547309833024,0.558900523560209,0.564344746162928
"23","ES","1999-2010",0.561587147030185,0.58433734939759,0.583953680727874,0.573374613003096,0.574398249452954
"24","ES","2011-2023",0.568496020108923,0.575287356321839,0.573921473582162,0.575663564288176,0.574751861042184
"25","FR","1975-1986",0.357894736842105,0.75,0.5,0.466666666666667,0.44
"26","FR","1987-1998",0.378306878306878,0.538461538461538,0.549019607843137,0.516129032258065,0.528735632183908
"27","FR","1999-2010",0.415525114155251,0.360655737704918,0.403846153846154,0.421428571428571,0.431693989071038
"28","FR","2011-2023",0.453062703878217,0.452631578947368,0.44047619047619,0.448275862068966,0.443877551020408
"29","GB","1975-1986",0.157826649417853,0.254901960784314,0.220588235294118,0.1953125,0.186206896551724
"30","GB","1987-1998",0.256762380357886,0.269230769230769,0.279411764705882,0.304020100502513,0.302966101694915
"31","GB","1999-2010",0.332826747720365,0.311557788944724,0.343354430379747,0.34156050955414,0.350335570469799
"32","GB","2011-2023",0.356496646389019,0.333680917622523,0.347089167280766,0.350436989004793,0.353358681875792
"33","IN","1975-1986",0.343283582089552,0.285714285714286,0.297297297297297,0.380952380952381,0.353846153846154
"34","IN","1987-1998",0.367697594501718,0.351063829787234,0.395061728395062,0.348,0.371069182389937
"35","IN","1999-2010",0.377885279889426,0.383720930232558,0.387337057728119,0.402634054562559,0.400149031296572
"36","IN","2011-2023",0.376690946930281,0.411602209944751,0.390524967989757,0.389322135572885,0.385906040268456
"37","IT","1975-1986",0.4,0.125,0.388888888888889,0.2,0.36
"38","IT","1987-1998",0.450602409638554,0.471428571428571,0.467741935483871,0.463917525773196,0.463576158940397
"39","IT","1999-2010",0.485808580858086,0.513618677042802,0.49874686716792,0.523684210526316,0.509578544061303
"40","IT","2011-2023",0.46437168993741,0.45668449197861,0.467649467649468,0.458536585365854,0.466008134805346
"41","JP","1975-1986",0.294478527607362,0.352941176470588,0.241379310344828,0.444444444444444,0.333333333333333
"42","JP","1987-1998",0.309882747068677,0.25,0.264150943396226,0.260416666666667,0.26984126984127
"43","JP","1999-2010",0.336222910216718,0.333333333333333,0.348837209302326,0.310344827586207,0.326145552560647
"44","JP","2011-2023",0.366187302700807,0.337606837606838,0.36875,0.371814092953523,0.381142098273572
"45","KR","1975-1986",0.155038759689922,0,0.0833333333333333,0,0.08
"46","KR","1987-1998",0.142156862745098,0.166666666666667,0.150537634408602,0.125,0.142857142857143
"47","KR","1999-2010",0.17,0.171428571428571,0.16504854368932,0.209944751381215,0.191489361702128
"48","KR","2011-2023",0.211189671072856,0.185053380782918,0.187782805429864,0.248456790123457,0.237330037082818
"49","MY","1975-1986",0.15625,NA,0.142857142857143,0,0.1
"50","MY","1987-1998",0.272131147540984,0.142857142857143,0.285714285714286,0.268292682926829,0.289156626506024
"51","MY","1999-2010",0.293324775353017,0.241935483870968,0.305755395683453,0.285185185185185,0.302469135802469
"52","MY","2011-2023",0.290957446808511,0.315789473684211,0.310096153846154,0.273584905660377,0.284615384615385
"53","TR","1975-1986",0.324561403508772,0.4,0.333333333333333,0.368421052631579,0.333333333333333
"54","TR","1987-1998",0.408745247148289,0.55,0.459770114942529,0.522727272727273,0.474074074074074
"55","TR","1999-2010",0.43210586881473,0.435714285714286,0.420600858369099,0.407166123778502,0.405
"56","TR","2011-2023",0.432670526050843,0.425233644859813,0.417613636363636,0.439421338155515,0.432706222865412
"57","US","1975-1986",0.191076115485564,0.176470588235294,0.18942731277533,0.188622754491018,0.191176470588235
"58","US","1987-1998",0.28448481950753,0.364130434782609,0.317622950819672,0.308921438082557,0.303317535545024
"59","US","1999-2010",0.337422398808046,0.364285714285714,0.356283422459893,0.361957525392428,0.358800773694391
"60","US","2011-2023",0.378558709317543,0.373188405797101,0.368288288288288,0.381574752948677,0.378099433606042
